Machado Manny
Soto Juan
Diaz Edwin
Dominguez Seranthony
Segura Jean
Ramos Wilson
Muncy Max
Robertson David
Gomes Yan
Mikolas Miles
Kela Keone
Donaldson Josh
Cano Robinson
Moustakas Mike
Rodriguez Dereck
Smith Will
Peralta Freddy
Lowrie Jed
Moronta Reyes
Gray Sonny
Gausman Kevin
Sanchez Anibal
Iglesias Jose
Escobar Eduardo
Eflin Zach
Castillo Jose
Alvarez Jose
Reyes Franmil
Archer Chris
Munoz Yairo
McNeil Jeff
Hicks Jordan
Miller Andrew
Rodriguez Richard
Hechavarria Adeiny
Bote David
Kinsler Ian
Suarez Andrew
Santana Edgar
Holland Derek
Hellickson Jeremy
Culberson Charlie
Minter A.J.
Burnes Corbin
Lopez Pablo
Gant John
Grace Matt
Mejia Francisco
Kelly Joe
Richards Garrett
Miller Justin
Lorenzen Michael
Mesoraco Devin
Erlin Robbie
Gamel Ben
Alexander Scott
Hampson Garrett
Dietrich Derek
Hudson Dakota
Vincent Nick
Lucchesi Joey
Richards Trevor
Davis Rajai
Nuno Vidal
Martin Russell
Jones Adam
Venters Jonny
Jankowski Travis
Moran Colin
Solarte Yangervis
Carle Shane
Arano Victor
Sandoval Pablo
Oh Seunghwan
Joseph Caleb
Barnette Tony
Duggar Steven
Smith Caleb
Stallings Jacob
O'Neill Tyler
Toussaint Touki
Casali Curt
Warren Adam
Cedeno Xavier
Holaday Bryan
McFarland T.J.
Ervin Phillip
